Wavelength (nm),Absorbance
190.0,2.198
191.0,2.050
192.0,1.688
193.0,1.398
194.0,1.212
195.0,1.067
196.0,0.963
197.0,0.892
198.0,0.842
199.0,0.813
200.0,0.793
201.0,0.782
202.0,0.779
203.0,0.780
204.0,0.784
205.0,0.790
206.0,0.797
207.0,0.803
208.0,0.809
209.0,0.813
210.0,0.817
211.0,0.820
212.0,0.822
213.0,0.823
214.0,0.824
215.0,0.824
216.0,0.825
217.0,0.826
218.0,0.826
219.0,0.825
220.0,0.826
221.0,0.826
222.0,0.827
223.0,0.827
224.0,0.828
225.0,0.828
226.0,0.829
227.0,0.830
228.0,0.830
229.0,0.831
230.0,0.832
231.0,0.833
232.0,0.834
233.0,0.835
234.0,0.835
235.0,0.836
236.0,0.837
237.0,0.837
238.0,0.837
239.0,0.837
240.0,0.837
241.0,0.836
242.0,0.836
243.0,0.836
244.0,0.835
245.0,0.834
246.0,0.834
247.0,0.833
248.0,0.832
249.0,0.831
250.0,0.830
251.0,0.830
252.0,0.829
253.0,0.827
254.0,0.826
255.0,0.825
256.0,0.824
257.0,0.823
258.0,0.822
259.0,0.821
260.0,0.820
261.0,0.819
262.0,0.818
263.0,0.817
264.0,0.816
265.0,0.814
266.0,0.813
267.0,0.812
268.0,0.811
269.0,0.810
270.0,0.809
271.0,0.808
272.0,0.807
273.0,0.806
274.0,0.805
275.0,0.804
276.0,0.803
277.0,0.802
278.0,0.801
279.0,0.802
280.0,0.800
281.0,0.799
282.0,0.798
283.0,0.798
284.0,0.797
285.0,0.796
286.0,0.796
287.0,0.795
288.0,0.794
289.0,0.793
290.0,0.793
291.0,0.791
292.0,0.791
293.0,0.790
294.0,0.790
295.0,0.789
296.0,0.789
297.0,0.788
298.0,0.787
299.0,0.786
300.0,0.785
301.0,0.784
302.0,0.784
303.0,0.783
304.0,0.782
305.0,0.782
306.0,0.794
307.0,0.794
308.0,0.798
309.0,0.793
310.0,0.796
311.0,0.793
312.0,0.793
313.0,0.795
314.0,0.790
315.0,0.790
316.0,0.787
317.0,0.787
318.0,0.789
319.0,0.784
320.0,0.785
321.0,0.787
322.0,0.783
323.0,0.782
324.0,0.780
325.0,0.778
326.0,0.780
327.0,0.783
328.0,0.783
329.0,0.774
330.0,0.778
331.0,0.771
332.0,0.771
333.0,0.774
334.0,0.775
335.0,0.772
336.0,0.769
337.0,0.771
338.0,0.771
339.0,0.766
340.0,0.769
341.0,0.772
342.0,0.765
343.0,0.765
344.0,0.762
345.0,0.765
346.0,0.767
347.0,0.763
348.0,0.763
349.0,0.759
350.0,0.761
351.0,0.758
352.0,0.761
353.0,0.755
354.0,0.758
355.0,0.754
356.0,0.755
357.0,0.752
358.0,0.753
359.0,0.751
360.0,0.749
361.0,0.750
362.0,0.751
363.0,0.749
364.0,0.745
365.0,0.734
366.0,0.727
367.0,0.726
368.0,0.725
369.0,0.725
370.0,0.723
371.0,0.723
372.0,0.722
373.0,0.722
374.0,0.721
375.0,0.720
376.0,0.719
377.0,0.718
378.0,0.717
379.0,0.716
380.0,0.716
381.0,0.714
382.0,0.714
383.0,0.713
384.0,0.712
385.0,0.711
386.0,0.711
387.0,0.710
388.0,0.709
389.0,0.708
390.0,0.708
391.0,0.706
392.0,0.706
393.0,0.705
394.0,0.704
395.0,0.703
396.0,0.702
397.0,0.702
398.0,0.701
399.0,0.700
400.0,0.699
401.0,0.698
402.0,0.698
403.0,0.697
404.0,0.696
405.0,0.695
406.0,0.694
407.0,0.694
408.0,0.693
409.0,0.692
410.0,0.691
411.0,0.690
412.0,0.690
413.0,0.689
414.0,0.688
415.0,0.688
416.0,0.687
417.0,0.686
418.0,0.685
419.0,0.685
420.0,0.684
421.0,0.683
422.0,0.682
423.0,0.681
424.0,0.681
425.0,0.680
426.0,0.679
427.0,0.678
428.0,0.677
429.0,0.676
430.0,0.676
431.0,0.675
432.0,0.674
433.0,0.673
434.0,0.673
435.0,0.672
436.0,0.671
437.0,0.671
438.0,0.670
439.0,0.669
440.0,0.668
441.0,0.667
442.0,0.667
443.0,0.666
444.0,0.665
445.0,0.665
446.0,0.664
447.0,0.663
448.0,0.662
449.0,0.662
450.0,0.661
451.0,0.660
452.0,0.660
453.0,0.659
454.0,0.658
455.0,0.657
456.0,0.657
457.0,0.656
458.0,0.655
459.0,0.654
460.0,0.654
461.0,0.653
462.0,0.652
463.0,0.652
464.0,0.651
465.0,0.650
466.0,0.649
467.0,0.649
468.0,0.648
469.0,0.647
470.0,0.647
471.0,0.646
472.0,0.645
473.0,0.644
474.0,0.644
475.0,0.643
476.0,0.642
477.0,0.642
478.0,0.641
479.0,0.640
480.0,0.640
481.0,0.639
482.0,0.638
483.0,0.637
484.0,0.637
485.0,0.636
486.0,0.635
487.0,0.635
488.0,0.634
489.0,0.634
490.0,0.633
491.0,0.632
492.0,0.631
493.0,0.631
494.0,0.630
495.0,0.629
496.0,0.629
497.0,0.628
498.0,0.627
499.0,0.627
500.0,0.626
501.0,0.625
502.0,0.625
503.0,0.624
504.0,0.623
505.0,0.623
506.0,0.622
507.0,0.621
508.0,0.621
509.0,0.620
510.0,0.620
511.0,0.619
512.0,0.618
513.0,0.618
514.0,0.617
515.0,0.616
516.0,0.616
517.0,0.615
518.0,0.614
519.0,0.614
520.0,0.613
521.0,0.612
522.0,0.612
523.0,0.611
524.0,0.610
525.0,0.610
526.0,0.609
527.0,0.608
528.0,0.608
529.0,0.607
530.0,0.607
531.0,0.606
532.0,0.605
533.0,0.605
534.0,0.604
535.0,0.603
536.0,0.603
537.0,0.602
538.0,0.602
539.0,0.601
540.0,0.600
541.0,0.600
542.0,0.599
543.0,0.598
544.0,0.598
545.0,0.597
546.0,0.597
547.0,0.596
548.0,0.595
549.0,0.595
550.0,0.594
551.0,0.594
552.0,0.593
553.0,0.592
554.0,0.592
555.0,0.591
556.0,0.591
557.0,0.590
558.0,0.589
559.0,0.589
560.0,0.588
561.0,0.588
562.0,0.587
563.0,0.587
564.0,0.586
565.0,0.585
566.0,0.584
567.0,0.584
568.0,0.584
569.0,0.583
570.0,0.582
571.0,0.582
572.0,0.581
573.0,0.581
574.0,0.580
575.0,0.580
576.0,0.579
577.0,0.579
578.0,0.578
579.0,0.577
580.0,0.577
581.0,0.576
582.0,0.576
583.0,0.575
584.0,0.575
585.0,0.574
586.0,0.574
587.0,0.573
588.0,0.573
589.0,0.572
590.0,0.572
591.0,0.571
592.0,0.571
593.0,0.570
594.0,0.569
595.0,0.569
596.0,0.568
597.0,0.568
598.0,0.567
599.0,0.567
600.0,0.566
601.0,0.566
602.0,0.565
603.0,0.565
604.0,0.564
605.0,0.564
606.0,0.564
607.0,0.563
608.0,0.563
609.0,0.562
610.0,0.562
611.0,0.561
612.0,0.561
613.0,0.560
614.0,0.560
615.0,0.559
616.0,0.558
617.0,0.558
618.0,0.557
619.0,0.557
620.0,0.556
621.0,0.556
622.0,0.555
623.0,0.555
624.0,0.554
625.0,0.554
626.0,0.554
627.0,0.553
628.0,0.553
629.0,0.552
630.0,0.551
631.0,0.551
632.0,0.550
633.0,0.550
634.0,0.550
635.0,0.549
636.0,0.549
637.0,0.548
638.0,0.548
639.0,0.547
640.0,0.547
641.0,0.546
642.0,0.546
643.0,0.545
644.0,0.545
645.0,0.544
646.0,0.544
647.0,0.544
648.0,0.543
649.0,0.543
650.0,0.542
651.0,0.542
652.0,0.542
653.0,0.541
654.0,0.541
655.0,0.540
656.0,0.540
657.0,0.539
658.0,0.539
659.0,0.538
660.0,0.538
661.0,0.537
662.0,0.537
663.0,0.536
664.0,0.536
665.0,0.535
666.0,0.535
667.0,0.534
668.0,0.534
669.0,0.533
670.0,0.533
671.0,0.532
672.0,0.532
673.0,0.531
674.0,0.531
675.0,0.531
676.0,0.530
677.0,0.530
678.0,0.529
679.0,0.529
680.0,0.528
681.0,0.528
682.0,0.528
683.0,0.527
684.0,0.527
685.0,0.526
686.0,0.526
687.0,0.526
688.0,0.525
689.0,0.525
690.0,0.525
691.0,0.524
692.0,0.524
693.0,0.523
694.0,0.523
695.0,0.523
696.0,0.522
697.0,0.522
698.0,0.522
699.0,0.521
700.0,0.521
701.0,0.521
702.0,0.520
703.0,0.520
704.0,0.519
705.0,0.519
706.0,0.519
707.0,0.518
708.0,0.518
709.0,0.517
710.0,0.517
711.0,0.516
712.0,0.516
713.0,0.515
714.0,0.515
715.0,0.514
716.0,0.514
717.0,0.514
718.0,0.513
719.0,0.513
720.0,0.512
721.0,0.512
722.0,0.512
723.0,0.511
724.0,0.511
725.0,0.511
726.0,0.510
727.0,0.510
728.0,0.509
729.0,0.509
730.0,0.509
731.0,0.508
732.0,0.508
733.0,0.507
734.0,0.507
735.0,0.507
736.0,0.506
737.0,0.506
738.0,0.505
739.0,0.505
740.0,0.504
741.0,0.504
742.0,0.503
743.0,0.503
744.0,0.503
745.0,0.502
746.0,0.502
747.0,0.501
748.0,0.501
749.0,0.501
750.0,0.500
751.0,0.500
752.0,0.499
753.0,0.499
754.0,0.498
755.0,0.498
756.0,0.498
757.0,0.497
758.0,0.497
759.0,0.497
760.0,0.496
761.0,0.495
762.0,0.495
763.0,0.494
764.0,0.494
765.0,0.494
766.0,0.493
767.0,0.493
768.0,0.493
769.0,0.492
770.0,0.492
771.0,0.491
772.0,0.491
773.0,0.490
774.0,0.490
775.0,0.490
776.0,0.489
777.0,0.489
778.0,0.488
779.0,0.488
780.0,0.487
781.0,0.487
782.0,0.487
783.0,0.486
784.0,0.486
785.0,0.486
786.0,0.485
787.0,0.485
788.0,0.484
789.0,0.484
790.0,0.484
791.0,0.483
792.0,0.483
793.0,0.483
794.0,0.482
795.0,0.482
796.0,0.481
797.0,0.481
798.0,0.480
799.0,0.480
800.0,0.480
801.0,0.480
802.0,0.479
803.0,0.479
804.0,0.478
805.0,0.478
806.0,0.478
807.0,0.477
808.0,0.477
809.0,0.476
810.0,0.476
811.0,0.476
812.0,0.475
813.0,0.475
814.0,0.475
815.0,0.474
816.0,0.474
817.0,0.473
818.0,0.473
819.0,0.473
820.0,0.472
821.0,0.472
822.0,0.472
823.0,0.471
824.0,0.471
825.0,0.471
826.0,0.470
827.0,0.470
828.0,0.469
829.0,0.469
830.0,0.469
831.0,0.468
832.0,0.468
833.0,0.468
834.0,0.468
835.0,0.467
836.0,0.467
837.0,0.466
838.0,0.466
839.0,0.466
840.0,0.465
841.0,0.465
842.0,0.464
843.0,0.464
844.0,0.464
845.0,0.463
846.0,0.463
847.0,0.463
848.0,0.462
849.0,0.462
850.0,0.462
851.0,0.461
852.0,0.461
853.0,0.460
854.0,0.460
855.0,0.459
856.0,0.459
857.0,0.459
858.0,0.458
859.0,0.458
860.0,0.458
861.0,0.457
862.0,0.457
863.0,0.457
864.0,0.456
865.0,0.456
866.0,0.456
867.0,0.455
868.0,0.455
869.0,0.455
870.0,0.454
871.0,0.454
872.0,0.453
873.0,0.453
874.0,0.453
875.0,0.452
876.0,0.452
877.0,0.452
878.0,0.451
879.0,0.451
880.0,0.451
881.0,0.451
882.0,0.450
883.0,0.450
884.0,0.449
885.0,0.449
886.0,0.449
887.0,0.448
888.0,0.448
889.0,0.448
890.0,0.447
891.0,0.447
892.0,0.447
893.0,0.447
894.0,0.446
895.0,0.446
896.0,0.446
897.0,0.445
898.0,0.445
899.0,0.445
900.0,0.444
901.0,0.444
902.0,0.444
903.0,0.443
904.0,0.443
905.0,0.443
906.0,0.442
907.0,0.442
908.0,0.442
909.0,0.441
910.0,0.441
911.0,0.441
912.0,0.441
913.0,0.440
914.0,0.440
915.0,0.440
916.0,0.439
917.0,0.439
918.0,0.439
919.0,0.439
920.0,0.439
921.0,0.438
922.0,0.438
923.0,0.438
924.0,0.438
925.0,0.438
926.0,0.438
927.0,0.438
928.0,0.438
929.0,0.437
930.0,0.437
931.0,0.437
932.0,0.437
933.0,0.437
934.0,0.437
935.0,0.437
936.0,0.437
937.0,0.437
938.0,0.437
939.0,0.436
940.0,0.436
941.0,0.436
942.0,0.436
943.0,0.436
944.0,0.436
945.0,0.436
946.0,0.436
947.0,0.436
948.0,0.436
949.0,0.436
950.0,0.436
951.0,0.436
952.0,0.437
953.0,0.437
954.0,0.437
955.0,0.438
956.0,0.438
957.0,0.438
958.0,0.438
959.0,0.438
960.0,0.438
961.0,0.438
962.0,0.438
963.0,0.438
964.0,0.437
965.0,0.437
966.0,0.436
967.0,0.436
968.0,0.435
969.0,0.435
970.0,0.434
971.0,0.433
972.0,0.433
973.0,0.432
974.0,0.432
975.0,0.431
976.0,0.430
977.0,0.429
978.0,0.429
979.0,0.428
980.0,0.427
981.0,0.427
982.0,0.426
983.0,0.425
984.0,0.424
985.0,0.424
986.0,0.423
987.0,0.422
988.0,0.422
989.0,0.421
990.0,0.420
991.0,0.419
992.0,0.419
993.0,0.418
994.0,0.417
995.0,0.416
996.0,0.416
997.0,0.415
998.0,0.414
999.0,0.414
1000.0,0.413
1001.0,0.413
1002.0,0.412
1003.0,0.411
1004.0,0.411
1005.0,0.410
1006.0,0.410
1007.0,0.409
1008.0,0.409
1009.0,0.408
1010.0,0.408
1011.0,0.407
1012.0,0.407
1013.0,0.406
1014.0,0.406
1015.0,0.405
1016.0,0.405
1017.0,0.405
1018.0,0.404
1019.0,0.404
1020.0,0.404
1021.0,0.403
1022.0,0.403
1023.0,0.402
1024.0,0.402
1025.0,0.402
1026.0,0.401
1027.0,0.401
1028.0,0.401
1029.0,0.400
1030.0,0.400
1031.0,0.400
1032.0,0.399
1033.0,0.399
1034.0,0.399
1035.0,0.399
1036.0,0.398
1037.0,0.398
1038.0,0.398
1039.0,0.397
1040.0,0.397
1041.0,0.397
1042.0,0.396
1043.0,0.396
1044.0,0.396
1045.0,0.396
1046.0,0.395
1047.0,0.395
1048.0,0.395
1049.0,0.394
1050.0,0.394
1051.0,0.394
1052.0,0.393
1053.0,0.393
1054.0,0.393
1055.0,0.393
1056.0,0.392
1057.0,0.392
1058.0,0.392
1059.0,0.392
1060.0,0.391
1061.0,0.391
1062.0,0.391
1063.0,0.390
1064.0,0.390
1065.0,0.389
1066.0,0.389
1067.0,0.389
1068.0,0.388
1069.0,0.388
1070.0,0.388
1071.0,0.387
1072.0,0.387
1073.0,0.387
1074.0,0.386
1075.0,0.386
1076.0,0.386
1077.0,0.385
1078.0,0.385
1079.0,0.384
1080.0,0.384
1081.0,0.384
1082.0,0.383
1083.0,0.383
1084.0,0.383
1085.0,0.382
1086.0,0.382
1087.0,0.381
1088.0,0.381
1089.0,0.381
1090.0,0.380
1091.0,0.380
1092.0,0.379
1093.0,0.379
1094.0,0.379
1095.0,0.378
1096.0,0.378
1097.0,0.378
1098.0,0.377
1099.0,0.377
1100.0,0.376
